# TwemojiMozilla.ttf v0.6.0 GSUB ligature sequences (2223)

#️⃣	U+0023 U+FE0F U+20E3
*️⃣	U+002A U+FE0F U+20E3
0️⃣	U+0030 U+FE0F U+20E3
1️⃣	U+0031 U+FE0F U+20E3
2️⃣	U+0032 U+FE0F U+20E3
3️⃣	U+0033 U+FE0F U+20E3
4️⃣	U+0034 U+FE0F U+20E3
5️⃣	U+0035 U+FE0F U+20E3
6️⃣	U+0036 U+FE0F U+20E3
7️⃣	U+0037 U+FE0F U+20E3
8️⃣	U+0038 U+FE0F U+20E3
9️⃣	U+0039 U+FE0F U+20E3
☝🏻	U+261D U+1F3FB
☝🏼	U+261D U+1F3FC
☝🏽	U+261D U+1F3FD
☝🏾	U+261D U+1F3FE
☝🏿	U+261D U+1F3FF
⛷🏻	U+26F7 U+1F3FB
⛷🏼	U+26F7 U+1F3FC
⛷🏽	U+26F7 U+1F3FD
⛷🏾	U+26F7 U+1F3FE
⛷🏿	U+26F7 U+1F3FF
⛹️‍♀️	U+26F9 U+FE0F U+200D U+2640 U+FE0F
⛹️‍♂️	U+26F9 U+FE0F U+200D U+2642 U+FE0F
⛹🏻	U+26F9 U+1F3FB
⛹🏻‍♀️	U+26F9 U+1F3FB U+200D U+2640 U+FE0F
⛹🏻‍♂️	U+26F9 U+1F3FB U+200D U+2642 U+FE0F
⛹🏼	U+26F9 U+1F3FC
⛹🏼‍♀️	U+26F9 U+1F3FC U+200D U+2640 U+FE0F
⛹🏼‍♂️	U+26F9 U+1F3FC U+200D U+2642 U+FE0F
⛹🏽	U+26F9 U+1F3FD
⛹🏽‍♀️	U+26F9 U+1F3FD U+200D U+2640 U+FE0F
⛹🏽‍♂️	U+26F9 U+1F3FD U+200D U+2642 U+FE0F
⛹🏾	U+26F9 U+1F3FE
⛹🏾‍♀️	U+26F9 U+1F3FE U+200D U+2640 U+FE0F
⛹🏾‍♂️	U+26F9 U+1F3FE U+200D U+2642 U+FE0F
⛹🏿	U+26F9 U+1F3FF
⛹🏿‍♀️	U+26F9 U+1F3FF U+200D U+2640 U+FE0F
⛹🏿‍♂️	U+26F9 U+1F3FF U+200D U+2642 U+FE0F
✊🏻	U+270A U+1F3FB
✊🏼	U+270A U+1F3FC
✊🏽	U+270A U+1F3FD
✊🏾	U+270A U+1F3FE
✊🏿	U+270A U+1F3FF
